Tipo: TEXTO | Origem: Input Direto | Cat: PRODUTIVO | Prio: MÉDIA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: MARIA_EDUARDA_SANTOS_SILVA.pdf | Cat: IMPRODUTIVO | Prio: BAIXA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
Tipo: ARQUIVO | Origem: email-teste.pdf | Cat: PRODUTIVO | Prio: ALTA
